Account	the	and	you	for	this	with	all	that	live	was	out	now	his	espn	your	what	are	from	love	one	our	have	thank	first	get	here	time	but	can	like	will	who	new	just	game	back	about	has	know	see	season	win	not	more	don	day	today	year	got	fight	make	off	let	tonight	next	only	they	ever	some	good	last	best	team	him	nba	happy	right	how	man	worlds	world	two	soon	into	tomorrow	after	these	would	amp	much	there	free	play	via	over	friday	want	league	been	real	had	sources	life	going	too	thanks	way	great	her	tournament	did	years	guys	every	final	coming	down	night	come	won	big	still	when	tell	ufc	week	video	show	then	other	never	please	their	cloud	watch	ufcvegas	tour	birthday	lol	miss	think	take	everyone	very	top	always	again	full	most	days	merch	playing	also	shit	people	college	player	eastern	talk	came	ago	stage	put	available	hope	left	green	amazing	made	feel	doing	incredible	them	any	esports	ufcaustin	pacific	heisman	bring	tickets	july	sale	she	wait	event	didn	keep	history	finals	check	games	vctgamechangers	state	cfbplayoff	usa	than	where	long	few	really	black	said	things	getting	open	energy	online	ain	everything	post	better	need	someone	title	both	michael	pacers	making	own	through	done	believe	songs	insane	store	home	something	help	support	lil	work	say	boy	thing	gonna	look	well	fun	sign	starting	already	experience	legac	hard	were	fan	sunday	episode	coach	against	champ	lakers	vote	shows	different	grateful	music	moment	before	wow	enter	may	crazy	while	even	should	those	told	family	being	champions	chance	football	breaking	lebron	contract	played	call	friend	part	until	album	little	cool	end	appreciate	went	old	starts	nobody	collection	future	saturday	fucking	hell	god	taking	weeks	yall	meet	mean	sorry	hit	los	angeles	imagine	fans	halo	debut	former	could	pop	champion	championship	away	match	star	story	weekend	mma	nfl	signing	pts	christmas	beautiful	cities	each	giving	greatest	without	found	youtube	hosting	link	together	another	legends	atlanta	its	rounds	around	boys	damn	might	lost	saying	young	song	doesn	point	run	road	during	why	dropped	trenches	favorite	four	xop	onepiece	head	round	main	thieves	lot	mom	tells	gozaksa	fights	rountree	boxing	grizzlies	reb	feeling	living	biggest	singing	excited	ticket	same	spoke	yeah	february	enjoy	easy	glad	name	midnight	forever	snl	career	start	deal	official	far	lmao	funny	vegas	legacy	thought	makes	faker	many	join	ends	valorant	winter	apex	teams	bro	set	reaction	does	minutes	data	vamoseg	announced	seasons	volleyball	wins	corner	arrived	rumble	yourself	injury	guy	spot	florida	talked	cormier	bronny	ers	guard	oubre	djesse	enough	became	heart	tuesday	couldn	september	morning	europe	concert	sold	november	code	photo	times	bad	posted	sure	record	project	kelly	sense	hands	half	fleur	summer	golf	bitch	odd	tape	early	art	business	because	gotta	grab	luck	million	deals	room	hand	close	ass	drops	malone	ready	try	update	san	apply	ask	cause	wish	fact	awesome	fuck	inside	major	october	scared	infinite	ultimate	grand	anything	iii	huge	vct	including	piece	goes	water	community	bigger	players	follow	looking
jacobcollier	19	3	23	10	8	5	11	2	8	1	6	5	2	0	5	0	3	4	2	2	1	1	9	2	2	7	6	0	0	1	1	5	1	0	1	0	2	1	1	5	0	0	0	0	0	0	2	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	4	1	2	0	0	1	1	1	2	2	1	2	0	3	0	0	0	0	0	1	1	0	0	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	3	2	1	0	0	0	0	0	0	0	0	5	4	0	1	0	0	0	0	0	0	0	5	1	1	0	0	0	0	0	0	0	0	1	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	1	1	1	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	1	2	2	1	1	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTNGuk	13	2	10	3	1	4	0	2	2	0	1	0	0	0	0	0	2	4	0	1	6	1	3	0	1	2	0	1	2	2	1	0	0	3	0	0	1	0	0	3	0	0	2	1	1	0	0	2	0	0	0	3	0	1	0	1	0	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	4	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	3	7	0	0	0	0	1	1	2	1	0	0	0	0	1	1	1	1	0	0	0	1	2	0	1	0	0	0	0	0	0	0	2	0	0	0	1	1	1	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	4	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	4	2	1	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tylerthecreator	19	8	12	4	5	1	0	3	2	4	1	2	0	0	1	2	0	5	2	2	0	0	6	4	0	1	3	2	2	0	1	1	0	0	0	2	1	0	1	1	2	0	2	1	0	1	0	1	3	0	3	1	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	2	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2	1	1	0	0	1	3	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	2	0	1	0	1	0	1	1	1	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	2	1	1	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	1	1	5	1	1	1	5	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
youngthug	5	1	6	2	5	2	0	2	1	0	1	2	0	0	0	0	0	0	2	0	0	2	1	0	1	1	2	1	0	0	0	0	1	2	0	0	0	1	0	1	0	1	0	0	2	0	0	1	0	0	0	0	0	1	0	1	0	4	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	3	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	0	2	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NoahKahan	15	12	19	15	7	5	7	5	0	7	3	5	0	0	3	3	2	0	4	2	0	2	1	1	3	2	3	4	4	3	1	3	2	5	0	2	6	0	0	3	1	0	2	0	2	5	1	0	0	0	1	0	1	1	2	1	2	4	2	2	2	0	0	0	0	1	0	1	1	0	1	0	1	2	1	0	0	0	2	1	0	0	0	0	2	3	1	0	0	1	3	0	0	0	0	1	0	0	5	0	1	0	2	5	0	1	1	2	0	1	0	3	3	0	0	0	1	2	1	0	4	0	0	0	0	0	3	0	0	0	2	2	0	0	0	0	0	1	0	0	2	1	0	1	5	1	0	0	0	0	0	0	1	2	1	0	0	0	0	1	1	2	1	0	0	0	0	0	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	2	2	1	2	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	1	1	0	4	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PostMalone	8	11	13	5	4	1	7	1	3	0	10	7	0	0	1	2	1	0	16	3	0	0	1	0	3	0	2	0	2	0	2	1	8	2	0	1	1	2	0	4	0	0	1	5	0	0	1	0	0	0	0	0	2	1	0	0	0	0	3	0	0	0	0	0	0	1	0	0	2	0	2	1	4	1	0	0	0	0	1	6	1	0	0	0	0	3	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	2	0	0	1	0	2	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	5	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	2	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	3	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Drake	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sza	20	28	25	20	7	0	16	8	0	14	5	3	0	0	5	2	1	3	12	3	1	3	12	3	5	3	5	5	4	2	4	2	0	1	0	4	2	0	2	3	0	0	4	5	2	1	2	1	2	2	7	1	4	2	1	5	2	5	2	1	4	0	0	2	0	3	4	4	0	0	0	0	3	1	0	3	0	1	0	3	5	0	1	0	1	0	4	0	1	1	2	0	8	0	1	0	2	0	2	0	2	1	0	2	0	1	2	1	3	1	0	0	2	0	0	0	0	5	4	3	2	3	1	0	0	0	3	2	1	0	1	0	0	3	1	1	2	0	4	0	0	1	0	5	1	0	0	0	1	2	0	1	0	0	1	2	0	0	1	3	1	1	1	4	0	0	0	0	2	1	0	0	0	2	0	4	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	2	1	0	7	0	0	1	3	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	4	2	2	1	1	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	0	0	0	0	0	1	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	2	0	0	0	4	0	1	0	0	6	3	1	4	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	2	6	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	2	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LilNasX	4	4	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	1	0	1	0	0	2	0	0	0	1	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lildurk	21	5	6	3	2	3	2	1	0	0	3	3	0	0	2	2	0	2	2	1	0	0	0	0	2	0	1	0	4	1	1	3	5	5	0	2	1	0	1	1	0	5	0	0	5	0	0	1	3	0	0	1	2	3	0	3	1	1	1	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	1	0	0	0	2	0	0	1	0	2	0	0	0	1	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	1	1	2	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
